마이크로닉스 Compact SFX-L 700W 80Plus Platinum,마이크로닉스,M-ATX(SFX),700,120,1,액티브,싱글레일,58,3,9,4,5,20핀+4핀 / 깊이: 135mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 플레티넘,176290
POWEREX REX III 600W Triple V2.3,POWEREX,ATX,600,120,1,NA,다중레일,20,3,5,2,3,깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W,41600
아이구주 ELPIS SP-700GX 80PLUS Standard 230V EU 벌크,아이구주,ATX,700,120,1,액티브,싱글레일,58,3,5,4,NA,20핀+4핀 / 깊이: 157mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,49900
COOLMAX TAURUS 600W 80Plus Bronze 230V EU,COOLMAX,ATX,600,120,1,액티브,싱글레일,48,3,6,2,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 플랫케이블 / 80 PLUS / 브론즈,54000
마이크로닉스 Cyclone III 600W After Cooling,마이크로닉스,ATX,600,120,1,NA,싱글레일,49,3,5,2,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W,44000
SuperFlower SF-500P14HE ECO BRONZE KING FDB,SuperFlower,ATX,500,120,1,액티브,싱글레일,37,3,6,2,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 브론즈,47000
FSP Hydro GE 650W Black 80PLUS GOLD,FSP,ATX,650,135,1,액티브,싱글레일,54,3,12,4,5,20핀+4핀 / 깊이: 170mm / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / 케이블 연결식 / 플랫케이블 / 프리볼트 / 80 PLUS / 골드 / 2018년 12월 8핀 커텍터 추가,98500
GIGABYTE AORUS P850GM 80PLUS GOLD 풀모듈러,GIGABYTE,ATX,850,135,1,액티브,싱글레일,70,5,6,6,10,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식(전체) / 대기전력 1W / 80 PLUS / 골드,152200
SuperFlower SF-1000F14MG LEADEX GOLD,SuperFlower,ATX,1000,NA,1,액티브,싱글레일,83,5,10,6,7,20핀+4핀 / 140mm / 깊이: 200mm / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,216000
topower TOP-600DS Hybrid Single Rail 80PLUS Bronze Rifle,topower,ATX,600,120,1,액티브,싱글레일,48,4,6,2,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,58400
COOLMAX TAURUS 700W 80Plus Bronze 230V EU,COOLMAX,ATX,700,120,1,액티브,싱글레일,56,3,6,4,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 플랫케이블 / 80 PLUS / 브론즈,62500
