TeamGroup T-Force DDR4 32G PC4-25600 CL16 Night Hawk RGB 화이트 (16Gx2),TeamGroup,4,PC용,2,포함,Dimm,32,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍 : 16-18-18-38,410060
타무즈 노트북 DDR3 4G PC3-10600 CL9,타무즈,3,노트북용,1,미포함,SO-Dimm,4,1333,1.50V / 메모리 타이밍 : CL9 / 동작전압 1.5V,28300
G.SKILL DDR4 32G PC4-25600 CL16 TRIDENT Z (16Gx2),G.SKILL,4,PC용,2,포함,Dimm,32,3200,1.35V / XMP / 동작전압 1.35V / 2016년 10월 부로 이노베이션티뮤 → 서린씨앤아이 로 유통사가 변경되었습니다.,388000
G.SKILL DDR4 32G PC4-24000 CL16 TRIDENT Z RGB (8Gx4),G.SKILL,4,PC용,4,포함,Dimm,32,3000,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18-38,384500
ADATA DDR4 8GB PC4-17000,ADATA,4,PC용,1,미포함,Dimm,8,2133,병행수입 제품입니다.,49920
ESSENCORE KLEVV DDR4 16G PC4-21300 CL16,ESSENCORE,4,PC용,1,미포함,Dimm,16,2666,메모리 타이밍 : 16-18-18-36,107300
마이크론 Ballistix DDR4 16G PC4-24000 CL16 텍티컬 트레이서 RGB 대원CTS,마이크론,4,PC용,1,포함,Dimm,16,3000,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / RGB LED / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18,225800
GeIL DDR4 16G PC4-19200 CL17 PRISTINE,GeIL,4,PC용,1,미포함,Dimm,16,2400,1.20V / 메모리 타이밍 : 17-17-17-39,104100
GeIL DDR4 16G PC4-21300 CL19 SUPER LUCE RGB Sync 화이트 AMD Edition (8Gx2),GeIL,4,PC용,2,포함,Dimm,16,2666,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 19-19-19-43,168200
삼성전자 노트북 DDR4 4G PC4-21300,삼성전자,4,노트북용,1,미포함,Dimm,4,2666,NA,36940
