GIGABYTE B360 M AORUS PRO 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) B360,M-ATX (24.4x24.4),6,4,64,16,3,6,1,7.1,1,2,3,1,XMP / 옵테인 / 멀티 GPU: CrossFire / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / VR Ready / LED 헤더 / RGB FUSION,107000
BIOSTAR B450MH 이엠텍,BIOSTAR,AMD(소켓AM4),(AMD) B450,M-ATX (24.4x19.8),6,4,32,16,3,4,1,7.1,1,2,4,NA,그래픽 출력: D-SUB HDMI / 기가비트 LAN,75600
ASRock Z390 TAICHI 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),12,4,64,16,5,8,3,7.1,1,NA,4,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / UEFI / LED 라이트 / LED 헤더,314500
MSI B450 토마호크,MSI,AMD(소켓AM4),(AMD) B450,ATX (30.5x24.4),7,4,64,16,3,6,1,7.1,1,2,2,2,멀티 GPU: CrossFire / 그래픽 출력: DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,129000
ASUS PRIME B360M-K 아이보라,ASUS,인텔(소켓1151v2),(인텔) B360,M-ATX (22.6x18.5),5,4,32,16,3,6,1,8,2,2,2,2,XMP / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,81500
GIGABYTE GA-A320M-S2H 듀러블에디션 피씨디렉트,GIGABYTE,AMD(소켓AM4),(AMD) A320,M-ATX (24.4x19.5),6,4,32,16,3,4,1,7.1,2,2,4,NA,XMP / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,64900
MSI A320M PRO-VH PLUS,MSI,AMD(소켓AM4),(AMD) A320,M-ATX (24.4x20.6),7,4,32,16,3,4,NA,8,1,2,4,NA,그래픽 출력: D-SUB HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원,62500
ASUS PRIME Z390-A STCOM,ASUS,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),NA,4,64,16,6,6,2,8,1,2,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / AURA SYNC,247600
MSI Z390-A PRO,MSI,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),10,4,64,16,6,6,1,7.1,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 그래픽 출력: D-SUB DVI DP / 기가비트 LAN / UEFI,162900
ASRock Z390 Phantom Gaming-ITX/ac 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,M-iTX (17.0x17.0),7,4,32,16,1,4,2,7.1,1,NA,2,5,XMP / 옵테인 / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / UEFI / LED 헤더,261000
ASUS PRIME H310M-K R2.0 아이보라,ASUS,인텔(소켓1151v2),(인텔) H310,M-ATX (22.6x18.5),4,4,32,NA,3,4,NA,8,2,2,2,NA,XMP / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,66550
ASUS PRIME B360M-A STCOM,ASUS,인텔(소켓1151v2),(인텔) B360,M-ATX (24.4x20.6),5,4,64,16,3,6,2,8,2,2,1,2,XMP / 옵테인 / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / AURA SYNC,95500
ASRock X470 Taichi 에즈윈,ASRock,AMD(소켓AM4),(AMD) X470,ATX (30.5x24.4),16,4,64,16,5,8,2,7.1,1,NA,6,2,멀티 GPU: CrossFire X SLI / 그래픽 출력: HDMI / 기가비트 LAN / 무선 LAN / 블루투스 / AMD APU 지원 / LED 라이트 / LED 헤더,283800
ASRock Z390 PRO4 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),10,4,64,16,5,6,2,7.1,1,2,1,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,163400
MSI B450 게이밍 프로 카본 AC,MSI,AMD(소켓AM4),(AMD) B450,ATX (30.5x24.4),NA,4,64,16,5,6,2,7.1,1,2,2,2,멀티 GPU: CrossFire / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / 블루투스 / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,153900
ASUS PRIME B365M-K 코잇,ASUS,인텔(소켓1151v2),(인텔) B365,M-ATX (22.6x18.5),NA,4,32,16,3,6,1,8,2,2,4,NA,XMP / 옵테인 / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,86600
GIGABYTE A320M-H 듀러블에디션 피씨디렉트,GIGABYTE,AMD(소켓AM4),(AMD) A320,M-ATX (24.4x19.5),6,4,32,16,3,4,1,8,2,2,4,NA,XMP / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready,62100
ASUS ROG RAMPAGE VI EXTREME OMEGA STCOM,ASUS,인텔(소켓2066),(인텔) X299,E-ATX (30.5x27.7),NA,4,128,16,4,6,3,8,2,NA,10,2,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / U.2: 1개 / 기가비트 LAN / 10기가비트 LAN / 무선 LAN / 블루투스 / UEFI / LED 라이트 / LED 헤더 / AURA SYNC,945000
ASRock X370M PRO4 에즈윈,ASRock,AMD(소켓AM4),(AMD) X370,M-ATX (24.4x24.4),9,4,64,16,3,4,2,7.1,2,2,5,NA,멀티 GPU: CrossFire X / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 헤더,83300
ASRock FATAL1TY B450 Gaming-ITX/ac 에즈윈,ASRock,AMD(소켓AM4),(AMD) B450,M-iTX (17.0x17.0),8,4,32,16,NA,4,1,7.1,1,2,2,2,그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / 블루투스 / AMD APU 지원 / LED 헤더,165000
ASRock H310M-HDV/M.2 디앤디컴,ASRock,인텔(소켓1151v2),(인텔) H310,M-ATX (22.6x18.8),5,4,32,NA,3,4,1,7.1,1,4,2,NA,XMP / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN,69000
ASUS PRIME B450M-A 아이보라,ASUS,AMD(소켓AM4),(AMD) B450,M-ATX (24.4x24.4),6,4,64,16,3,6,1,8,2,NA,4,2,그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더,97000
ASRock H310CM-HDV 에즈윈,ASRock,인텔(소켓1151v2),(인텔) H310,M-ATX (19.1x18.8),4,4,32,NA,2,4,NA,7.1,1,4,2,NA,XMP / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,64900
MSI X470 게이밍 플러스,MSI,AMD(소켓AM4),(AMD) X470,ATX (30.5x24.4),NA,4,64,16,6,6,2,7.1,1,2,4,2,멀티 GPU: CrossFire / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,161700
MSI B360 게이밍 프로 카본,MSI,인텔(소켓1151v2),(인텔) B360,ATX (30.5x24.3),10,4,64,16,5,6,2,7.1,1,2,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / MYSTIC LIGHT,129000
ASUS H81M-K STCOM,ASUS,인텔(소켓1150),(인텔) H81,Micro-ATX (24.4 x 24.4),NA,3,16,16,NA,2,NA,8,2,NA,2,NA,그래픽 출력: D-SUB DVI / 기가비트 LAN,60000
ASRock H310M-HDV/M.2 에즈윈,ASRock,인텔(소켓1151v2),(인텔) H310,M-ATX (22.6x18.8),5,4,32,NA,3,4,1,7.1,1,4,2,NA,XMP / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN,80000
ASRock H310M-HDV 에즈윈,ASRock,인텔(소켓1151v2),(인텔) H310,M-ATX (19.1x18.8),5,4,32,NA,2,4,NA,7.1,1,4,2,NA,XMP / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,76000
ASRock H310CM-DVS 디앤디컴,ASRock,인텔(소켓1151v2),(인텔) H310,M-ATX (19.1x18.8),4,4,32,NA,2,4,NA,7.1,1,4,2,NA,XMP / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI,59540
ECS DURATHON2 H310H5-M2DV 코잇,ECS,인텔(소켓1151v2),(인텔) H310,M-ATX (19.0x17.0),4,4,32,NA,2,4,NA,6,1,4,2,NA,그래픽 출력: D-SUB DVI / 기가비트 LAN,54000
GIGABYTE GA-B250M-DS3H 듀러블에디션 피씨디렉트,GIGABYTE,인텔(소켓1151),(인텔) B250,Micro-ATX (22.6 x 19.3),5,4,64,NA,NA,6,1,7.1,1,2,4,NA,XMP / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,82500
ECS DURATHON2 B360 TIGER-T9 코잇,ECS,인텔(소켓1151v2),(인텔) B360,M-ATX (22.5x18.5),5,4,32,16,3,4,NA,6,1,2,2,2,옵테인 / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,68640
MSI B360M 박격포 티타늄,MSI,인텔(소켓1151v2),(인텔) B360,M-ATX (24.3x24.3),7,4,64,16,4,4,2,7.1,1,4,NA,2,XMP / 옵테인 / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / MYSTIC LIGHT,120000
ASUS ROG STRIX B450-F GAMING 아이보라,ASUS,AMD(소켓AM4),(AMD) B450,ATX (30.5x24.4),NA,4,64,16,6,6,2,8,1,2,4,2,멀티 GPU: CrossFire X / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,177600
BIOSTAR RACING B350 GT3 이엠텍,BIOSTAR,AMD(소켓AM4),(AMD) B350,Micro-ATX (24.4 x 22.5),7,4,64,NA,4,4,1,7.1,1,NA,4,2,그래픽 출력: DVI HDMI / 기가비트 LAN / LED 라이트 / LED 헤더 / VIVID LED,85900
ASUS PRIME A320M-K STCOM,ASUS,AMD(소켓AM4),(AMD) A320,M-ATX (22.6x22.1),6,4,32,NA,3,4,1,8,2,2,4,NA,그래픽 출력: D-SUB HDMI / 기가비트 LAN / UEFI,65120
GIGABYTE Z370M DS3H 듀러블에디션 제이씨현,GIGABYTE,인텔(소켓1151v2),(인텔) Z370,M-ATX (22.6x19.3),5,4,64,16,3,6,1,6,1,2,4,NA,XMP / 옵테인 / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready,126900
ASUS PRIME Z390-A 아이보라,ASUS,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),NA,4,64,16,6,6,2,8,1,2,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / AURA SYNC,252000
GIGABYTE H310N 듀러블에디션 제이씨현,GIGABYTE,인텔(소켓1151v2),(인텔) H310,M-iTX (17.0x17.0),6,4,32,NA,NA,4,1,6,2,2,2,NA,XMP / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready,99800
ASUS PRIME H370-PLUS STCOM,ASUS,인텔(소켓1151v2),(인텔) H370,ATX (30.5x22.1),6,4,64,16,4,6,2,8,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready,139000
MSI B350M PRO-VD PLUS,MSI,AMD(소켓AM4),(AMD) B350,M-ATX (24.3x24.3),6,4,32,16,NA,4,NA,7.1,1,2,4,NA,그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / AMD APU 지원,78000
GIGABYTE B360M D2V 듀러블에디션 제이씨현,GIGABYTE,인텔(소켓1151v2),(인텔) B360,M-ATX (22.6x18.5),6,4,32,16,3,6,1,8,2,2,4,NA,XMP / 옵테인 / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,82600
